"book_id";"title";"author";"ISBN";"genre";"publication_date";"availability_status";"book_tablecol"
1;"How To Kill a Mockingbird";"Harper Lee";"9780062368683";"Novel";"1960-07-11";"available";""
2;"Elementary Differential Equations 9th Edition";"Richard C. DiPrima and William E. Boyce";"047003940";"Math";"2008-09-11";"available";""
3;"An Introduction to Observational Astrophysics";"Mark Gallaway";"9783030435516";"Science";"2015-11-16";"available";""
4;"Minecraft: Mobestiary";"Alex Wiltshire";"9781405286022";"Gaming";"2017-10-10";"available";""
5;"Terraria Volume 1: The Journey Begins";"Brendan J. Vogel";"9798218154745";"Gaming";"2024-11-19";"available";""
6;"Cisco Software-Defined Access";"Jason Gooley";"9780136448389";"Science";"2020-08-11";"available";""
7;"Honkai Star Rail Complete Guide";"Iris R Moore";"9798399171128";"Gaming";"2023-06-21";"available";""
8;"Genshin Impact Guide - Tips and Tricks";"Aoz Amorphis";"9798584804350";"Gaming";"2020-12-21";"available";""
9;" History of the Philippines From Indios Bravo";" Luis H. Francia";"9781468315455";"History";"2013-09-18";"available";""
